table_schema,table_name,column_name,ordinal_position,data_type,is_nullable,column_default
auth,audit_log_entries,instance_id,1,uuid,YES,null
auth,audit_log_entries,id,2,uuid,NO,null
auth,audit_log_entries,payload,3,json,YES,null
auth,audit_log_entries,created_at,4,timestamp with time zone,YES,null
auth,audit_log_entries,ip_address,5,character varying,NO,''::character varying
auth,flow_state,id,1,uuid,NO,null
auth,flow_state,user_id,2,uuid,YES,null
auth,flow_state,auth_code,3,text,NO,null
auth,flow_state,code_challenge_method,4,USER-DEFINED,NO,null
auth,flow_state,code_challenge,5,text,NO,null
auth,flow_state,provider_type,6,text,NO,null
auth,flow_state,provider_access_token,7,text,YES,null
auth,flow_state,provider_refresh_token,8,text,YES,null
auth,flow_state,created_at,9,timestamp with time zone,YES,null
auth,flow_state,updated_at,10,timestamp with time zone,YES,null
auth,flow_state,authentication_method,11,text,NO,null
auth,flow_state,auth_code_issued_at,12,timestamp with time zone,YES,null
auth,identities,provider_id,1,text,NO,null
auth,identities,user_id,2,uuid,NO,null
auth,identities,identity_data,3,jsonb,NO,null
auth,identities,provider,4,text,NO,null
auth,identities,last_sign_in_at,5,timestamp with time zone,YES,null
auth,identities,created_at,6,timestamp with time zone,YES,null
auth,identities,updated_at,7,timestamp with time zone,YES,null
auth,identities,email,8,text,YES,null
auth,identities,id,9,uuid,NO,gen_random_uuid()
auth,instances,id,1,uuid,NO,null
auth,instances,uuid,2,uuid,YES,null
auth,instances,raw_base_config,3,text,YES,null
auth,instances,created_at,4,timestamp with time zone,YES,null
auth,instances,updated_at,5,timestamp with time zone,YES,null
auth,mfa_amr_claims,session_id,1,uuid,NO,null
auth,mfa_amr_claims,created_at,2,timestamp with time zone,NO,null
auth,mfa_amr_claims,updated_at,3,timestamp with time zone,NO,null
auth,mfa_amr_claims,authentication_method,4,text,NO,null
auth,mfa_amr_claims,id,5,uuid,NO,null
auth,mfa_challenges,id,1,uuid,NO,null
auth,mfa_challenges,factor_id,2,uuid,NO,null
auth,mfa_challenges,created_at,3,timestamp with time zone,NO,null
auth,mfa_challenges,verified_at,4,timestamp with time zone,YES,null
auth,mfa_challenges,ip_address,5,inet,NO,null
auth,mfa_challenges,otp_code,6,text,YES,null
auth,mfa_challenges,web_authn_session_data,7,jsonb,YES,null
auth,mfa_factors,id,1,uuid,NO,null
auth,mfa_factors,user_id,2,uuid,NO,null
auth,mfa_factors,friendly_name,3,text,YES,null
auth,mfa_factors,factor_type,4,USER-DEFINED,NO,null
auth,mfa_factors,status,5,USER-DEFINED,NO,null
auth,mfa_factors,created_at,6,timestamp with time zone,NO,null
auth,mfa_factors,updated_at,7,timestamp with time zone,NO,null
auth,mfa_factors,secret,8,text,YES,null
auth,mfa_factors,phone,9,text,YES,null
auth,mfa_factors,last_challenged_at,10,timestamp with time zone,YES,null
auth,mfa_factors,web_authn_credential,11,jsonb,YES,null
auth,mfa_factors,web_authn_aaguid,12,uuid,YES,null
auth,mfa_factors,last_webauthn_challenge_data,13,jsonb,YES,null
auth,oauth_authorizations,id,1,uuid,NO,null
auth,oauth_authorizations,authorization_id,2,text,NO,null
auth,oauth_authorizations,client_id,3,uuid,NO,null
auth,oauth_authorizations,user_id,4,uuid,YES,null
auth,oauth_authorizations,redirect_uri,5,text,NO,null
auth,oauth_authorizations,scope,6,text,NO,null
auth,oauth_authorizations,state,7,text,YES,null
auth,oauth_authorizations,resource,8,text,YES,null
auth,oauth_authorizations,code_challenge,9,text,YES,null
auth,oauth_authorizations,code_challenge_method,10,USER-DEFINED,YES,null
auth,oauth_authorizations,response_type,11,USER-DEFINED,NO,'code'::auth.oauth_response_type
auth,oauth_authorizations,status,12,USER-DEFINED,NO,'pending'::auth.oauth_authorization_status
auth,oauth_authorizations,authorization_code,13,text,YES,null
auth,oauth_authorizations,created_at,14,timestamp with time zone,NO,now()
auth,oauth_authorizations,expires_at,15,timestamp with time zone,NO,(now() + '00:03:00'::interval)
auth,oauth_authorizations,approved_at,16,timestamp with time zone,YES,null
auth,oauth_authorizations,nonce,17,text,YES,null
auth,oauth_client_states,id,1,uuid,NO,null
auth,oauth_client_states,provider_type,2,text,NO,null
auth,oauth_client_states,code_verifier,3,text,YES,null
auth,oauth_client_states,created_at,4,timestamp with time zone,NO,null
auth,oauth_clients,id,1,uuid,NO,null
auth,oauth_clients,client_secret_hash,3,text,YES,null
auth,oauth_clients,registration_type,4,USER-DEFINED,NO,null
auth,oauth_clients,redirect_uris,5,text,NO,null
auth,oauth_clients,grant_types,6,text,NO,null
auth,oauth_clients,client_name,7,text,YES,null
auth,oauth_clients,client_uri,8,text,YES,null
auth,oauth_clients,logo_uri,9,text,YES,null
auth,oauth_clients,created_at,10,timestamp with time zone,NO,now()
auth,oauth_clients,updated_at,11,timestamp with time zone,NO,now()
auth,oauth_clients,deleted_at,12,timestamp with time zone,YES,null
auth,oauth_clients,client_type,13,USER-DEFINED,NO,'confidential'::auth.oauth_client_type
auth,oauth_consents,id,1,uuid,NO,null
auth,oauth_consents,user_id,2,uuid,NO,null
auth,oauth_consents,client_id,3,uuid,NO,null
auth,oauth_consents,scopes,4,text,NO,null
auth,oauth_consents,granted_at,5,timestamp with time zone,NO,now()
auth,oauth_consents,revoked_at,6,timestamp with time zone,YES,null
auth,one_time_tokens,id,1,uuid,NO,null
auth,one_time_tokens,user_id,2,uuid,NO,null
auth,one_time_tokens,token_type,3,USER-DEFINED,NO,null
auth,one_time_tokens,token_hash,4,text,NO,null
auth,one_time_tokens,relates_to,5,text,NO,null
auth,one_time_tokens,created_at,6,timestamp without time zone,NO,now()
auth,one_time_tokens,updated_at,7,timestamp without time zone,NO,now()
auth,refresh_tokens,instance_id,1,uuid,YES,null
auth,refresh_tokens,id,2,bigint,NO,nextval('auth.refresh_tokens_id_seq'::regclass)
auth,refresh_tokens,token,3,character varying,YES,null
auth,refresh_tokens,user_id,4,character varying,YES,null
auth,refresh_tokens,revoked,5,boolean,YES,null
auth,refresh_tokens,created_at,6,timestamp with time zone,YES,null
auth,refresh_tokens,updated_at,7,timestamp with time zone,YES,null
auth,refresh_tokens,parent,8,character varying,YES,null
auth,refresh_tokens,session_id,9,uuid,YES,null
auth,saml_providers,id,1,uuid,NO,null
auth,saml_providers,sso_provider_id,2,uuid,NO,null
auth,saml_providers,entity_id,3,text,NO,null
auth,saml_providers,metadata_xml,4,text,NO,null
auth,saml_providers,metadata_url,5,text,YES,null
auth,saml_providers,attribute_mapping,6,jsonb,YES,null
auth,saml_providers,created_at,7,timestamp with time zone,YES,null
auth,saml_providers,updated_at,8,timestamp with time zone,YES,null
auth,saml_providers,name_id_format,9,text,YES,null
auth,saml_relay_states,id,1,uuid,NO,null
auth,saml_relay_states,sso_provider_id,2,uuid,NO,null
auth,saml_relay_states,request_id,3,text,NO,null
auth,saml_relay_states,for_email,4,text,YES,null
auth,saml_relay_states,redirect_to,5,text,YES,null
auth,saml_relay_states,created_at,7,timestamp with time zone,YES,null
auth,saml_relay_states,updated_at,8,timestamp with time zone,YES,null
auth,saml_relay_states,flow_state_id,9,uuid,YES,null
auth,schema_migrations,version,1,character varying,NO,null
auth,sessions,id,1,uuid,NO,null
auth,sessions,user_id,2,uuid,NO,null
auth,sessions,created_at,3,timestamp with time zone,YES,null
auth,sessions,updated_at,4,timestamp with time zone,YES,null
auth,sessions,factor_id,5,uuid,YES,null
auth,sessions,aal,6,USER-DEFINED,YES,null
auth,sessions,not_after,7,timestamp with time zone,YES,null
auth,sessions,refreshed_at,8,timestamp without time zone,YES,null
auth,sessions,user_agent,9,text,YES,null
auth,sessions,ip,10,inet,YES,null
auth,sessions,tag,11,text,YES,null
auth,sessions,oauth_client_id,12,uuid,YES,null
auth,sessions,refresh_token_hmac_key,13,text,YES,null
auth,sessions,refresh_token_counter,14,bigint,YES,null
auth,sessions,scopes,15,text,YES,null
auth,sso_domains,id,1,uuid,NO,null
auth,sso_domains,sso_provider_id,2,uuid,NO,null
auth,sso_domains,domain,3,text,NO,null
auth,sso_domains,created_at,4,timestamp with time zone,YES,null
auth,sso_domains,updated_at,5,timestamp with time zone,YES,null
auth,sso_providers,id,1,uuid,NO,null
auth,sso_providers,resource_id,2,text,YES,null
auth,sso_providers,created_at,3,timestamp with time zone,YES,null
auth,sso_providers,updated_at,4,timestamp with time zone,YES,null
auth,sso_providers,disabled,5,boolean,YES,null
auth,users,instance_id,1,uuid,YES,null
auth,users,id,2,uuid,NO,null
auth,users,aud,3,character varying,YES,null
auth,users,role,4,character varying,YES,null
auth,users,email,5,character varying,YES,null
auth,users,encrypted_password,6,character varying,YES,null
auth,users,email_confirmed_at,7,timestamp with time zone,YES,null
auth,users,invited_at,8,timestamp with time zone,YES,null
auth,users,confirmation_token,9,character varying,YES,null
auth,users,confirmation_sent_at,10,timestamp with time zone,YES,null
auth,users,recovery_token,11,character varying,YES,null
auth,users,recovery_sent_at,12,timestamp with time zone,YES,null
auth,users,email_change_token_new,13,character varying,YES,null
auth,users,email_change,14,character varying,YES,null
auth,users,email_change_sent_at,15,timestamp with time zone,YES,null
auth,users,last_sign_in_at,16,timestamp with time zone,YES,null
auth,users,raw_app_meta_data,17,jsonb,YES,null
auth,users,raw_user_meta_data,18,jsonb,YES,null
auth,users,is_super_admin,19,boolean,YES,null
auth,users,created_at,20,timestamp with time zone,YES,null
auth,users,updated_at,21,timestamp with time zone,YES,null
auth,users,phone,22,text,YES,NULL::character varying
auth,users,phone_confirmed_at,23,timestamp with time zone,YES,null
auth,users,phone_change,24,text,YES,''::character varying
auth,users,phone_change_token,25,character varying,YES,''::character varying
auth,users,phone_change_sent_at,26,timestamp with time zone,YES,null
auth,users,confirmed_at,27,timestamp with time zone,YES,null
auth,users,email_change_token_current,28,character varying,YES,''::character varying
auth,users,email_change_confirm_status,29,smallint,YES,0
auth,users,banned_until,30,timestamp with time zone,YES,null
auth,users,reauthentication_token,31,character varying,YES,''::character varying
auth,users,reauthentication_sent_at,32,timestamp with time zone,YES,null
auth,users,is_sso_user,33,boolean,NO,false
auth,users,deleted_at,34,timestamp with time zone,YES,null
auth,users,is_anonymous,35,boolean,NO,false
extensions,pg_stat_statements,userid,1,oid,YES,null
extensions,pg_stat_statements,dbid,2,oid,YES,null
extensions,pg_stat_statements,toplevel,3,boolean,YES,null
extensions,pg_stat_statements,queryid,4,bigint,YES,null
extensions,pg_stat_statements,query,5,text,YES,null
extensions,pg_stat_statements,plans,6,bigint,YES,null
extensions,pg_stat_statements,total_plan_time,7,double precision,YES,null
extensions,pg_stat_statements,min_plan_time,8,double precision,YES,null
extensions,pg_stat_statements,max_plan_time,9,double precision,YES,null
extensions,pg_stat_statements,mean_plan_time,10,double precision,YES,null
extensions,pg_stat_statements,stddev_plan_time,11,double precision,YES,null
extensions,pg_stat_statements,calls,12,bigint,YES,null
extensions,pg_stat_statements,total_exec_time,13,double precision,YES,null
extensions,pg_stat_statements,min_exec_time,14,double precision,YES,null
extensions,pg_stat_statements,max_exec_time,15,double precision,YES,null
extensions,pg_stat_statements,mean_exec_time,16,double precision,YES,null
extensions,pg_stat_statements,stddev_exec_time,17,double precision,YES,null
extensions,pg_stat_statements,rows,18,bigint,YES,null
extensions,pg_stat_statements,shared_blks_hit,19,bigint,YES,null
extensions,pg_stat_statements,shared_blks_read,20,bigint,YES,null
extensions,pg_stat_statements,shared_blks_dirtied,21,bigint,YES,null
extensions,pg_stat_statements,shared_blks_written,22,bigint,YES,null
extensions,pg_stat_statements,local_blks_hit,23,bigint,YES,null
extensions,pg_stat_statements,local_blks_read,24,bigint,YES,null
extensions,pg_stat_statements,local_blks_dirtied,25,bigint,YES,null
extensions,pg_stat_statements,local_blks_written,26,bigint,YES,null
extensions,pg_stat_statements,temp_blks_read,27,bigint,YES,null
extensions,pg_stat_statements,temp_blks_written,28,bigint,YES,null
extensions,pg_stat_statements,shared_blk_read_time,29,double precision,YES,null
extensions,pg_stat_statements,shared_blk_write_time,30,double precision,YES,null
extensions,pg_stat_statements,local_blk_read_time,31,double precision,YES,null
extensions,pg_stat_statements,local_blk_write_time,32,double precision,YES,null
extensions,pg_stat_statements,temp_blk_read_time,33,double precision,YES,null
extensions,pg_stat_statements,temp_blk_write_time,34,double precision,YES,null
extensions,pg_stat_statements,wal_records,35,bigint,YES,null
extensions,pg_stat_statements,wal_fpi,36,bigint,YES,null
extensions,pg_stat_statements,wal_bytes,37,numeric,YES,null
extensions,pg_stat_statements,jit_functions,38,bigint,YES,null
extensions,pg_stat_statements,jit_generation_time,39,double precision,YES,null
extensions,pg_stat_statements,jit_inlining_count,40,bigint,YES,null
extensions,pg_stat_statements,jit_inlining_time,41,double precision,YES,null
extensions,pg_stat_statements,jit_optimization_count,42,bigint,YES,null
extensions,pg_stat_statements,jit_optimization_time,43,double precision,YES,null
extensions,pg_stat_statements,jit_emission_count,44,bigint,YES,null
extensions,pg_stat_statements,jit_emission_time,45,double precision,YES,null
extensions,pg_stat_statements,jit_deform_count,46,bigint,YES,null
extensions,pg_stat_statements,jit_deform_time,47,double precision,YES,null
extensions,pg_stat_statements,stats_since,48,timestamp with time zone,YES,null
extensions,pg_stat_statements,minmax_stats_since,49,timestamp with time zone,YES,null
extensions,pg_stat_statements_info,dealloc,1,bigint,YES,null
extensions,pg_stat_statements_info,stats_reset,2,timestamp with time zone,YES,null
public,abonnements,id,1,uuid,NO,gen_random_uuid()
public,abonnements,entreprise_id,2,uuid,YES,null
public,abonnements,regie_id,3,uuid,YES,null
public,abonnements,plan_id,4,uuid,NO,null
public,abonnements,type_periode,5,character varying,NO,'mensuel'::character varying
public,abonnements,date_debut,6,date,NO,CURRENT_DATE
public,abonnements,date_fin,7,date,NO,null
public,abonnements,statut,8,character varying,NO,'actif'::character varying
public,abonnements,montant_paye,9,numeric,NO,null
public,abonnements,date_prochain_paiement,10,date,YES,null
public,abonnements,missions_ce_mois,11,integer,YES,0
public,abonnements,dernier_reset_quota,12,date,YES,CURRENT_DATE
public,abonnements,created_at,13,timestamp with time zone,YES,now()
public,abonnements,updated_at,14,timestamp with time zone,YES,now()
public,abonnements_stats,plan_nom,1,character varying,YES,null
public,abonnements_stats,nom_affichage,2,character varying,YES,null
public,abonnements_stats,nombre_abonnements,3,bigint,YES,null
public,abonnements_stats,abonnements_actifs,4,bigint,YES,null
public,abonnements_stats,abonnements_mensuels,5,bigint,YES,null
public,abonnements_stats,abonnements_annuels,6,bigint,YES,null
public,abonnements_stats,mrr_mensuel,7,numeric,YES,null
public,abonnements_stats,mrr_annuel,8,numeric,YES,null
public,abonnements_stats,mrr_total,9,numeric,YES,null
public,admin_agences_en_attente,id,1,uuid,YES,null
public,admin_agences_en_attente,nom_agence,2,text,YES,null
public,admin_agences_en_attente,email,3,text,YES,null
public,admin_agences_en_attente,siret,4,text,YES,null
public,admin_agences_en_attente,nb_collaborateurs,5,integer,YES,null
public,admin_agences_en_attente,nb_logements_geres,6,integer,YES,null
public,admin_agences_en_attente,statut_validation,7,text,YES,null
public,admin_agences_en_attente,date_inscription,8,timestamp with time zone,YES,null
public,admin_agences_en_attente,email_contact,9,text,YES,null
public,admin_agences_en_attente,language,10,text,YES,null
public,admin_dashboard,total_regies,1,bigint,YES,null
public,admin_dashboard,regies_30_jours,2,bigint,YES,null
public,admin_dashboard,total_immeubles,3,bigint,YES,null
public,admin_dashboard,immeubles_30_jours,4,bigint,YES,null
public,admin_dashboard,total_logements,5,bigint,YES,null
public,admin_dashboard,logements_30_jours,6,bigint,YES,null
public,admin_dashboard,total_locataires,7,bigint,YES,null
public,admin_dashboard,locataires_30_jours,8,bigint,YES,null
public,admin_dashboard,total_tickets,9,bigint,YES,null
public,admin_dashboard,tickets_30_jours,10,bigint,YES,null
public,admin_dashboard,tickets_ouverts,11,bigint,YES,null
public,admin_dashboard,tickets_en_cours,12,bigint,YES,null
public,admin_dashboard,tickets_termines,13,bigint,YES,null
public,admin_dashboard,total_entreprises,14,bigint,YES,null
public,admin_dashboard,entreprises_30_jours,15,bigint,YES,null
public,admin_stats_entreprises,total_entreprises,1,bigint,YES,null
public,admin_stats_entreprises,entreprises_30_jours,2,bigint,YES,null
public,admin_stats_entreprises,entreprises_7_jours,3,bigint,YES,null
public,admin_stats_entreprises,regies_avec_entreprises,4,bigint,YES,null
public,admin_stats_entreprises,entreprises_autorisees,5,bigint,YES,null
public,admin_stats_evolution,jour,1,timestamp with time zone,YES,null
public,admin_stats_evolution,type,2,text,YES,null
public,admin_stats_evolution,nombre,3,bigint,YES,null
public,admin_stats_immeubles,total_immeubles,1,bigint,YES,null
public,admin_stats_immeubles,immeubles_30_jours,2,bigint,YES,null
public,admin_stats_immeubles,immeubles_7_jours,3,bigint,YES,null
public,admin_stats_immeubles,regies_avec_immeubles,4,bigint,YES,null
public,admin_stats_immeubles,moyenne_par_regie,5,numeric,YES,null
public,admin_stats_locataires,total_locataires,1,bigint,YES,null
public,admin_stats_locataires,locataires_30_jours,2,bigint,YES,null
public,admin_stats_locataires,locataires_7_jours,3,bigint,YES,null
public,admin_stats_locataires,logements_occupes,4,bigint,YES,null
public,admin_stats_logements,total_logements,1,bigint,YES,null
public,admin_stats_logements,logements_30_jours,2,bigint,YES,null
public,admin_stats_logements,logements_7_jours,3,bigint,YES,null
public,admin_stats_logements,immeubles_avec_logements,4,bigint,YES,null
public,admin_stats_logements,moyenne_par_immeuble,5,numeric,YES,null
public,admin_stats_regies,total_regies,1,bigint,YES,null
public,admin_stats_regies,regies_30_jours,2,bigint,YES,null
public,admin_stats_regies,regies_7_jours,3,bigint,YES,null
public,admin_stats_regies,regies_aujourd_hui,4,bigint,YES,null
public,admin_stats_tickets,total_tickets,1,bigint,YES,null
public,admin_stats_tickets,tickets_30_jours,2,bigint,YES,null
public,admin_stats_tickets,tickets_7_jours,3,bigint,YES,null
public,admin_stats_tickets,tickets_aujourd_hui,4,bigint,YES,null
public,admin_stats_tickets,tickets_ouverts,5,bigint,YES,null
public,admin_stats_tickets,tickets_en_cours,6,bigint,YES,null
public,admin_stats_tickets,tickets_termines,7,bigint,YES,null
public,admin_stats_tickets,tickets_annules,8,bigint,YES,null
public,admin_stats_tickets,tickets_priorite_haute,9,bigint,YES,null
public,admin_stats_tickets,tickets_priorite_moyenne,10,bigint,YES,null
public,admin_stats_tickets,tickets_priorite_basse,11,bigint,YES,null
public,admin_stats_tickets,regies_avec_tickets,12,bigint,YES,null
public,admin_stats_tickets,duree_moyenne_heures,13,numeric,YES,null
public,admin_stats_tickets_categories,categorie,1,text,YES,null
public,admin_stats_tickets_categories,total,2,bigint,YES,null
public,admin_stats_tickets_categories,ouverts,3,bigint,YES,null
public,admin_stats_tickets_categories,en_cours,4,bigint,YES,null
public,admin_stats_tickets_categories,termines,5,bigint,YES,null
public,admin_stats_tickets_priorites,priorite,1,text,YES,null
public,admin_stats_tickets_priorites,total,2,bigint,YES,null
public,admin_stats_tickets_priorites,ouverts,3,bigint,YES,null
public,admin_stats_tickets_priorites,en_cours,4,bigint,YES,null
public,admin_stats_tickets_priorites,termines,5,bigint,YES,null
public,entreprises,id,1,uuid,NO,uuid_generate_v4()
public,entreprises,nom,2,text,NO,null
public,entreprises,siret,3,text,YES,null
public,entreprises,adresse,4,text,YES,null
public,entreprises,code_postal,5,text,YES,null
public,entreprises,ville,6,text,YES,null
public,entreprises,telephone,7,text,YES,null
public,entreprises,email,8,text,NO,null
public,entreprises,specialites,9,ARRAY,YES,null
public,entreprises,profile_id,10,uuid,YES,null
public,entreprises,description,11,text,YES,null
public,entreprises,site_web,12,text,YES,null
public,entreprises,created_at,13,timestamp with time zone,YES,now()
public,entreprises,updated_at,14,timestamp with time zone,YES,now()
public,entreprises,signature_url,15,text,YES,null
public,factures,id,1,uuid,NO,gen_random_uuid()
public,factures,mission_id,2,uuid,NO,null
public,factures,entreprise_id,3,uuid,NO,null
public,factures,regie_id,4,uuid,NO,null
public,factures,numero,5,text,NO,null
public,factures,montant_ht,6,numeric,NO,null
public,factures,taux_tva,7,numeric,NO,20.00
public,factures,montant_tva,8,numeric,YES,null
public,factures,montant_ttc,9,numeric,YES,null
public,factures,taux_commission,10,numeric,NO,10.00
public,factures,montant_commission,11,numeric,YES,null
public,factures,statut,12,text,NO,'brouillon'::text
public,factures,date_emission,13,date,NO,CURRENT_DATE
public,factures,date_echeance,14,date,NO,null
public,factures,date_envoi,15,timestamp with time zone,YES,null
public,factures,date_paiement,16,timestamp with time zone,YES,null
public,factures,notes,17,text,YES,null
public,factures,created_at,18,timestamp with time zone,NO,now()
public,factures,updated_at,19,timestamp with time zone,NO,now()
public,factures_commissions_jtec,facture_id,1,uuid,YES,null
public,factures_commissions_jtec,numero,2,text,YES,null
public,factures_commissions_jtec,date_emission,3,date,YES,null
public,factures_commissions_jtec,statut,4,text,YES,null
public,factures_commissions_jtec,entreprise_nom,5,text,YES,null
public,factures_commissions_jtec,regie_nom,6,text,YES,null
public,factures_commissions_jtec,montant_ht,7,numeric,YES,null
public,factures_commissions_jtec,montant_ttc,8,numeric,YES,null
public,factures_commissions_jtec,taux_commission,9,numeric,YES,null
