table_schema,table_name,constraint_name,constraint_type
auth,audit_log_entries,16494_16525_5_not_null,CHECK
auth,audit_log_entries,audit_log_entries_pkey,PRIMARY KEY
auth,audit_log_entries,16494_16525_2_not_null,CHECK
auth,flow_state,flow_state_pkey,PRIMARY KEY
auth,flow_state,16494_16883_1_not_null,CHECK
auth,flow_state,16494_16883_11_not_null,CHECK
auth,flow_state,16494_16883_6_not_null,CHECK
auth,flow_state,16494_16883_5_not_null,CHECK
auth,flow_state,16494_16883_4_not_null,CHECK
auth,flow_state,16494_16883_3_not_null,CHECK
auth,identities,16494_16681_9_not_null,CHECK
auth,identities,16494_16681_3_not_null,CHECK
auth,identities,identities_provider_id_provider_unique,UNIQUE
auth,identities,identities_pkey,PRIMARY KEY
auth,identities,16494_16681_2_not_null,CHECK
auth,identities,16494_16681_1_not_null,CHECK
auth,identities,identities_user_id_fkey,FOREIGN KEY
auth,identities,16494_16681_4_not_null,CHECK
auth,instances,instances_pkey,PRIMARY KEY
auth,instances,16494_16518_1_not_null,CHECK
auth,mfa_amr_claims,16494_16770_1_not_null,CHECK
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE
auth,mfa_amr_claims,mfa_amr_claims_session_id_fkey,FOREIGN KEY
auth,mfa_amr_claims,amr_id_pk,PRIMARY KEY
auth,mfa_amr_claims,16494_16770_2_not_null,CHECK
auth,mfa_amr_claims,16494_16770_3_not_null,CHECK
auth,mfa_amr_claims,16494_16770_4_not_null,CHECK
auth,mfa_amr_claims,16494_16770_5_not_null,CHECK
auth,mfa_challenges,16494_16758_2_not_null,CHECK
auth,mfa_challenges,mfa_challenges_auth_factor_id_fkey,FOREIGN KEY
auth,mfa_challenges,mfa_challenges_pkey,PRIMARY KEY
auth,mfa_challenges,16494_16758_5_not_null,CHECK
auth,mfa_challenges,16494_16758_3_not_null,CHECK
auth,mfa_challenges,16494_16758_1_not_null,CHECK
auth,mfa_factors,mfa_factors_last_challenged_at_key,UNIQUE
auth,mfa_factors,16494_16745_5_not_null,CHECK
auth,mfa_factors,16494_16745_7_not_null,CHECK
auth,mfa_factors,16494_16745_4_not_null,CHECK
auth,mfa_factors,16494_16745_2_not_null,CHECK
auth,mfa_factors,16494_16745_1_not_null,CHECK
auth,mfa_factors,mfa_factors_user_id_fkey,FOREIGN KEY
auth,mfa_factors,mfa_factors_pkey,PRIMARY KEY
auth,mfa_factors,16494_16745_6_not_null,CHECK
auth,oauth_authorizations,oauth_authorizations_scope_length,CHECK
auth,oauth_authorizations,oauth_authorizations_redirect_uri_length,CHECK
auth,oauth_authorizations,oauth_authorizations_state_length,CHECK
auth,oauth_authorizations,oauth_authorizations_resource_length,CHECK
auth,oauth_authorizations,oauth_authorizations_code_challenge_length,CHECK
auth,oauth_authorizations,oauth_authorizations_authorization_code_length,CHECK
auth,oauth_authorizations,oauth_authorizations_expires_at_future,CHECK
auth,oauth_authorizations,oauth_authorizations_pkey,PRIMARY KEY
auth,oauth_authorizations,oauth_authorizations_authorization_id_key,UNIQUE
auth,oauth_authorizations,oauth_authorizations_authorization_code_key,UNIQUE
auth,oauth_authorizations,oauth_authorizations_client_id_fkey,FOREIGN KEY
auth,oauth_authorizations,oauth_authorizations_user_id_fkey,FOREIGN KEY
auth,oauth_authorizations,oauth_authorizations_nonce_length,CHECK
auth,oauth_authorizations,16494_16995_1_not_null,CHECK
auth,oauth_authorizations,16494_16995_2_not_null,CHECK
auth,oauth_authorizations,16494_16995_3_not_null,CHECK
auth,oauth_authorizations,16494_16995_5_not_null,CHECK
auth,oauth_authorizations,16494_16995_6_not_null,CHECK
auth,oauth_authorizations,16494_16995_11_not_null,CHECK
auth,oauth_authorizations,16494_16995_12_not_null,CHECK
auth,oauth_authorizations,16494_16995_14_not_null,CHECK
auth,oauth_authorizations,16494_16995_15_not_null,CHECK
auth,oauth_client_states,oauth_client_states_pkey,PRIMARY KEY
auth,oauth_client_states,16494_17068_1_not_null,CHECK
auth,oauth_client_states,16494_17068_2_not_null,CHECK
auth,oauth_client_states,16494_17068_4_not_null,CHECK
auth,oauth_clients,16494_16965_1_not_null,CHECK
auth,oauth_clients,16494_16965_4_not_null,CHECK
auth,oauth_clients,oauth_clients_pkey,PRIMARY KEY
auth,oauth_clients,16494_16965_5_not_null,CHECK
auth,oauth_clients,16494_16965_6_not_null,CHECK
auth,oauth_clients,16494_16965_13_not_null,CHECK
auth,oauth_clients,16494_16965_11_not_null,CHECK
auth,oauth_clients,oauth_clients_logo_uri_length,CHECK
auth,oauth_clients,16494_16965_10_not_null,CHECK
auth,oauth_clients,oauth_clients_client_name_length,CHECK
auth,oauth_clients,oauth_clients_client_uri_length,CHECK
auth,oauth_consents,oauth_consents_scopes_length,CHECK
auth,oauth_consents,oauth_consents_pkey,PRIMARY KEY
auth,oauth_consents,oauth_consents_user_client_unique,UNIQUE
auth,oauth_consents,oauth_consents_user_id_fkey,FOREIGN KEY
auth,oauth_consents,16494_17028_5_not_null,CHECK
auth,oauth_consents,16494_17028_4_not_null,CHECK
auth,oauth_consents,16494_17028_3_not_null,CHECK
auth,oauth_consents,16494_17028_1_not_null,CHECK
auth,oauth_consents,oauth_consents_client_id_fkey,FOREIGN KEY
auth,oauth_consents,16494_17028_2_not_null,CHECK
auth,oauth_consents,oauth_consents_revoked_after_granted,CHECK
auth,oauth_consents,oauth_consents_scopes_not_empty,CHECK
auth,one_time_tokens,16494_16933_7_not_null,CHECK
auth,one_time_tokens,16494_16933_1_not_null,CHECK
auth,one_time_tokens,one_time_tokens_user_id_fkey,FOREIGN KEY
auth,one_time_tokens,one_time_tokens_pkey,PRIMARY KEY
auth,one_time_tokens,one_time_tokens_token_hash_check,CHECK
auth,one_time_tokens,16494_16933_2_not_null,CHECK
auth,one_time_tokens,16494_16933_3_not_null,CHECK
auth,one_time_tokens,16494_16933_4_not_null,CHECK
auth,one_time_tokens,16494_16933_5_not_null,CHECK
auth,one_time_tokens,16494_16933_6_not_null,CHECK
auth,refresh_tokens,16494_16507_2_not_null,CHECK
auth,refresh_tokens,refresh_tokens_token_unique,UNIQUE
auth,refresh_tokens,refresh_tokens_session_id_fkey,FOREIGN KEY
auth,refresh_tokens,refresh_tokens_pkey,PRIMARY KEY
auth,saml_providers,16494_16812_1_not_null,CHECK
auth,saml_providers,entity_id not empty,CHECK
auth,saml_providers,16494_16812_2_not_null,CHECK
auth,saml_providers,16494_16812_3_not_null,CHECK
auth,saml_providers,16494_16812_4_not_null,CHECK
auth,saml_providers,saml_providers_pkey,PRIMARY KEY
auth,saml_providers,saml_providers_entity_id_key,UNIQUE
auth,saml_providers,saml_providers_sso_provider_id_fkey,FOREIGN KEY
auth,saml_providers,metadata_xml not empty,CHECK
auth,saml_providers,metadata_url not empty,CHECK
auth,saml_relay_states,16494_16830_2_not_null,CHECK
auth,saml_relay_states,16494_16830_3_not_null,CHECK
auth,saml_relay_states,saml_relay_states_flow_state_id_fkey,FOREIGN KEY
auth,saml_relay_states,request_id not empty,CHECK
auth,saml_relay_states,saml_relay_states_pkey,PRIMARY KEY
auth,saml_relay_states,16494_16830_1_not_null,CHECK
auth,saml_relay_states,saml_relay_states_sso_provider_id_fkey,FOREIGN KEY
auth,sessions,sessions_oauth_client_id_fkey,FOREIGN KEY
auth,sessions,sessions_pkey,PRIMARY KEY
auth,sessions,sessions_user_id_fkey,FOREIGN KEY
auth,sessions,sessions_scopes_length,CHECK
auth,sessions,16494_16711_2_not_null,CHECK
auth,sessions,16494_16711_1_not_null,CHECK
auth,sso_domains,domain not empty,CHECK
auth,sso_domains,sso_domains_sso_provider_id_fkey,FOREIGN KEY
auth,sso_domains,16494_16797_1_not_null,CHECK
auth,sso_domains,16494_16797_2_not_null,CHECK
auth,sso_domains,16494_16797_3_not_null,CHECK
auth,sso_domains,sso_domains_pkey,PRIMARY KEY
auth,sso_providers,sso_providers_pkey,PRIMARY KEY
auth,sso_providers,16494_16788_1_not_null,CHECK
auth,sso_providers,resource_id not empty,CHECK
auth,users,users_email_change_confirm_status_check,CHECK
auth,users,16494_16495_2_not_null,CHECK
auth,users,users_pkey,PRIMARY KEY
auth,users,16494_16495_33_not_null,CHECK
auth,users,users_phone_key,UNIQUE
auth,users,16494_16495_35_not_null,CHECK
public,abonnements,2200_18655_9_not_null,CHECK
public,abonnements,2200_18655_7_not_null,CHECK
public,abonnements,abonnements_regie_id_fkey,FOREIGN KEY
public,abonnements,2200_18655_1_not_null,CHECK
public,abonnements,2200_18655_4_not_null,CHECK
public,abonnements,abonnements_plan_id_fkey,FOREIGN KEY
public,abonnements,2200_18655_8_not_null,CHECK
public,abonnements,abonnements_entreprise_id_fkey,FOREIGN KEY
public,abonnements,abonnements_pkey,PRIMARY KEY
public,abonnements,date_fin_apres_debut,CHECK
public,abonnements,abonnement_client_unique,CHECK
public,abonnements,abonnements_missions_ce_mois_check,CHECK
public,abonnements,abonnements_montant_paye_check,CHECK
public,abonnements,abonnements_statut_check,CHECK
public,abonnements,abonnements_type_periode_check,CHECK
public,abonnements,2200_18655_5_not_null,CHECK
public,abonnements,2200_18655_6_not_null,CHECK
public,entreprises,entreprises_pkey,PRIMARY KEY
public,entreprises,2200_17886_8_not_null,CHECK
public,entreprises,2200_17886_2_not_null,CHECK
public,entreprises,2200_17886_1_not_null,CHECK
public,entreprises,check_telephone_entreprise,CHECK
public,entreprises,check_email_entreprise,CHECK
public,entreprises,unique_entreprise_nom,UNIQUE
public,entreprises,entreprises_profile_id_fkey,FOREIGN KEY
public,entreprises,entreprises_siret_key,UNIQUE
public,factures,2200_18215_19_not_null,CHECK
public,factures,2200_18215_6_not_null,CHECK
public,factures,2200_18215_7_not_null,CHECK
public,factures,2200_18215_5_not_null,CHECK
public,factures,2200_18215_4_not_null,CHECK
public,factures,2200_18215_3_not_null,CHECK
public,factures,2200_18215_2_not_null,CHECK
public,factures,2200_18215_1_not_null,CHECK
public,factures,factures_pkey,PRIMARY KEY
public,factures,factures_statut_check,CHECK
public,factures,2200_18215_14_not_null,CHECK
public,factures,factures_taux_tva_check,CHECK
public,factures,2200_18215_13_not_null,CHECK
public,factures,factures_montant_ht_check,CHECK
public,factures,factures_taux_commission_check,CHECK
public,factures,2200_18215_12_not_null,CHECK
public,factures,2200_18215_10_not_null,CHECK
public,factures,factures_regie_id_fkey,FOREIGN KEY
public,factures,factures_entreprise_id_fkey,FOREIGN KEY
public,factures,factures_mission_id_fkey,FOREIGN KEY
public,factures,factures_numero_key,UNIQUE
public,factures,2200_18215_18_not_null,CHECK
public,factures,factures_mission_id_key,UNIQUE
public,immeubles,2200_17706_2_not_null,CHECK
public,immeubles,2200_17706_4_not_null,CHECK
public,immeubles,2200_17706_5_not_null,CHECK
public,immeubles,check_immeubles_npa_format,CHECK
public,immeubles,check_annee_construction,CHECK
public,immeubles,check_nombre_etages,CHECK
public,immeubles,immeubles_regie_id_fkey,FOREIGN KEY
public,immeubles,immeubles_pkey,PRIMARY KEY
public,immeubles,2200_17706_8_not_null,CHECK
public,immeubles,2200_17706_1_not_null,CHECK
public,immeubles,2200_17706_3_not_null,CHECK
public,locataires,2200_17808_9_not_null,CHECK
public,locataires,locataires_logement_id_fkey,FOREIGN KEY
public,locataires,fk_locataires_regie,FOREIGN KEY
public,locataires,2200_17808_1_not_null,CHECK
public,locataires,check_dates,CHECK
public,locataires,check_telephone_locataire,CHECK
public,locataires,check_email_locataire,CHECK
public,locataires,locataires_profile_id_fkey,FOREIGN KEY
public,locataires,locataires_profile_id_key,UNIQUE
public,locataires,locataires_pkey,PRIMARY KEY
public,locataires,2200_17808_2_not_null,CHECK
public,locataires,2200_17808_3_not_null,CHECK
public,locataires,2200_17808_5_not_null,CHECK
public,locataires,2200_17808_7_not_null,CHECK
public,locataires,2200_17808_16_not_null,CHECK
public,logements,2200_17755_1_not_null,CHECK
public,logements,check_annee_renovation,CHECK
public,logements,check_npa_format,CHECK
public,logements,fk_logements_regie_id,FOREIGN KEY
public,logements,logements_pkey,PRIMARY KEY
public,logements,check_loyer,CHECK
public,logements,check_charges,CHECK
public,logements,logements_immeuble_id_fkey,FOREIGN KEY
public,logements,unique_logement_numero_immeuble,UNIQUE
public,logements,check_superficie,CHECK
public,logements,check_nombre_pieces,CHECK
public,logements,check_statut,CHECK
public,logements,2200_17755_19_not_null,CHECK
public,logements,2200_17755_2_not_null,CHECK
public,messages,2200_18304_6_not_null,CHECK
public,messages,2200_18304_8_not_null,CHECK
public,messages,2200_18304_7_not_null,CHECK
public,messages,2200_18304_1_not_null,CHECK
public,messages,2200_18304_5_not_null,CHECK
public,messages,2200_18304_4_not_null,CHECK
public,messages,2200_18304_3_not_null,CHECK
public,messages,2200_18304_2_not_null,CHECK
public,messages,messages_sender_user_id_fkey,FOREIGN KEY
public,messages,messages_mission_id_fkey,FOREIGN KEY
public,messages,messages_pkey,PRIMARY KEY
public,messages,messages_type_check,CHECK
public,migration_logs,2200_21530_2_not_null,CHECK
public,migration_logs,migration_logs_pkey,PRIMARY KEY
public,migration_logs,2200_21530_1_not_null,CHECK
public,missions,2200_18092_1_not_null,CHECK
public,missions,missions_technicien_id_fkey,FOREIGN KEY
public,missions,missions_pkey,PRIMARY KEY
public,missions,missions_ticket_id_key,UNIQUE
public,missions,missions_ticket_id_fkey,FOREIGN KEY
public,missions,check_montant_reel_chf_positif,CHECK
public,missions,2200_18092_7_not_null,CHECK
public,missions,missions_entreprise_id_fkey,FOREIGN KEY
public,missions,2200_18092_8_not_null,CHECK
public,missions,2200_18092_16_not_null,CHECK
public,missions,2200_18092_20_not_null,CHECK
public,missions,check_mission_devise_chf,CHECK
public,missions,2200_18092_3_not_null,CHECK
public,missions,2200_18092_2_not_null,CHECK
public,notifications,notifications_related_facture_id_fkey,FOREIGN KEY
public,notifications,notifications_type_check,CHECK
public,notifications,notifications_pkey,PRIMARY KEY
public,notifications,notifications_user_id_fkey,FOREIGN KEY
public,notifications,notifications_related_mission_id_fkey,FOREIGN KEY
public,notifications,notifications_related_ticket_id_fkey,FOREIGN KEY
public,notifications,notifications_related_message_id_fkey,FOREIGN KEY
public,notifications,2200_18327_1_not_null,CHECK
public,notifications,2200_18327_2_not_null,CHECK
public,notifications,2200_18327_3_not_null,CHECK
public,notifications,2200_18327_4_not_null,CHECK
public,notifications,2200_18327_5_not_null,CHECK
public,notifications,2200_18327_10_not_null,CHECK
public,notifications,2200_18327_12_not_null,CHECK
public,plans,plans_pkey,PRIMARY KEY
public,plans,plans_nom_key,UNIQUE
public,plans,plans_limite_missions_mois_check,CHECK
public,plans,plans_prix_annuel_check,CHECK
public,plans,plans_prix_mensuel_check,CHECK
public,plans,plans_nom_check,CHECK
public,plans,2200_18634_6_not_null,CHECK
public,plans,2200_18634_5_not_null,CHECK
public,plans,2200_18634_3_not_null,CHECK
public,plans,2200_18634_1_not_null,CHECK
public,plans,2200_18634_2_not_null,CHECK
public,plans,plans_limite_techniciens_check,CHECK
public,plans,plans_limite_utilisateurs_check,CHECK
public,profiles,fk_profiles_regie,FOREIGN KEY
public,profiles,2200_17604_5_not_null,CHECK
public,profiles,2200_17604_4_not_null,CHECK
public,profiles,2200_17604_3_not_null,CHECK
public,profiles,2200_17604_2_not_null,CHECK
public,profiles,2200_17604_1_not_null,CHECK
public,profiles,profiles_pkey,PRIMARY KEY
public,profiles,profiles_id_fkey,FOREIGN KEY
public,profiles,check_language,CHECK
public,regies,2200_17650_11_not_null,CHECK
public,regies,2200_17650_2_not_null,CHECK
public,regies,regies_statut_validation_check,CHECK
public,regies,regies_pkey,PRIMARY KEY
public,regies,regies_admin_validateur_id_fkey,FOREIGN KEY
public,regies,regies_profile_id_fkey,FOREIGN KEY
public,regies,unique_regie_nom,UNIQUE
public,regies,check_telephone,CHECK
public,regies,check_email,CHECK
public,regies,check_nb_collaborateurs,CHECK
public,regies,check_nb_logements,CHECK
public,regies,2200_17650_9_not_null,CHECK
public,regies,2200_17650_10_not_null,CHECK
public,regies,2200_17650_1_not_null,CHECK
public,regies_entreprises,2200_17911_4_not_null,CHECK
public,regies_entreprises,2200_17911_3_not_null,CHECK
public,regies_entreprises,2200_17911_2_not_null,CHECK
public,regies_entreprises,2200_17911_1_not_null,CHECK
public,regies_entreprises,check_mode_diffusion,CHECK
public,regies_entreprises,regies_entreprises_pkey,PRIMARY KEY
public,regies_entreprises,regies_entreprises_regie_id_fkey,FOREIGN KEY
public,regies_entreprises,regies_entreprises_entreprise_id_fkey,FOREIGN KEY
public,regies_entreprises,unique_regie_entreprise,UNIQUE
public,techniciens,2200_17962_10_not_null,CHECK
public,techniciens,2200_17962_5_not_null,CHECK
public,techniciens,2200_17962_4_not_null,CHECK
public,techniciens,2200_17962_3_not_null,CHECK
public,techniciens,2200_17962_2_not_null,CHECK
public,techniciens,2200_17962_1_not_null,CHECK
public,techniciens,techniciens_entreprise_id_fkey,FOREIGN KEY
public,techniciens,techniciens_profile_id_fkey,FOREIGN KEY
public,techniciens,techniciens_profile_id_key,UNIQUE
public,techniciens,techniciens_pkey,PRIMARY KEY
public,techniciens,2200_17962_11_not_null,CHECK
public,techniciens,2200_17962_9_not_null,CHECK
public,tickets,2200_18022_4_not_null,CHECK
public,tickets,2200_18022_3_not_null,CHECK
public,tickets,2200_18022_2_not_null,CHECK
public,tickets,check_devise_chf,CHECK
public,tickets,check_plafond_positif,CHECK
public,tickets,check_piece_valide,CHECK
public,tickets,check_sous_categorie_valide,CHECK
public,tickets,check_dates,CHECK
public,tickets,check_categorie,CHECK
public,tickets,check_priorite,CHECK
public,tickets,tickets_technicien_id_fkey,FOREIGN KEY
public,tickets,tickets_entreprise_id_fkey,FOREIGN KEY
public,tickets,tickets_locataire_id_fkey,FOREIGN KEY
public,tickets,tickets_logement_id_fkey,FOREIGN KEY
public,tickets,tickets_pkey,PRIMARY KEY
public,tickets,2200_18022_1_not_null,CHECK
public,tickets,2200_18022_21_not_null,CHECK
public,tickets,2200_18022_9_not_null,CHECK
public,tickets,2200_18022_8_not_null,CHECK
public,tickets,2200_18022_7_not_null,CHECK
public,tickets,2200_18022_6_not_null,CHECK
public,tickets_disponibilites,tickets_disponibilites_ticket_id_fkey,FOREIGN KEY
public,tickets_disponibilites,tickets_disponibilites_pkey,PRIMARY KEY
public,tickets_disponibilites,2200_29107_2_not_null,CHECK
public,tickets_disponibilites,2200_29107_1_not_null,CHECK
public,tickets_disponibilites,check_preference_valide,CHECK
public,tickets_disponibilites,check_date_fin_apres_debut,CHECK
public,tickets_disponibilites,2200_29107_6_not_null,CHECK
public,tickets_disponibilites,2200_29107_5_not_null,CHECK
public,tickets_disponibilites,2200_29107_4_not_null,CHECK
public,tickets_disponibilites,2200_29107_3_not_null,CHECK
public,tickets_disponibilites,unique_ticket_preference,UNIQUE
realtime,messages,16555_17469_3_not_null,CHECK
realtime,messages,16555_17469_4_not_null,CHECK
realtime,messages,16555_17469_10_not_null,CHECK
realtime,messages,16555_17469_9_not_null,CHECK
realtime,messages,messages_pkey,PRIMARY KEY
realtime,messages,16555_17469_8_not_null,CHECK
realtime,schema_migrations,schema_migrations_pkey,PRIMARY KEY
realtime,schema_migrations,16555_17304_1_not_null,CHECK
realtime,subscription,16555_17327_5_not_null,CHECK
realtime,subscription,16555_17327_7_not_null,CHECK
realtime,subscription,16555_17327_8_not_null,CHECK
realtime,subscription,16555_17327_9_not_null,CHECK
realtime,subscription,pk_subscription,PRIMARY KEY
realtime,subscription,16555_17327_1_not_null,CHECK
realtime,subscription,16555_17327_2_not_null,CHECK
realtime,subscription,16555_17327_4_not_null,CHECK
storage,buckets,16542_17084_11_not_null,CHECK
storage,buckets,buckets_pkey,PRIMARY KEY
storage,buckets,16542_17084_2_not_null,CHECK
storage,buckets,16542_17084_1_not_null,CHECK
storage,buckets_analytics,16542_17242_4_not_null,CHECK
storage,buckets_analytics,16542_17242_5_not_null,CHECK
storage,buckets_analytics,16542_17242_6_not_null,CHECK
storage,buckets_analytics,buckets_analytics_pkey,PRIMARY KEY
storage,buckets_analytics,16542_17242_1_not_null,CHECK
storage,buckets_analytics,16542_17242_2_not_null,CHECK
storage,buckets_analytics,16542_17242_3_not_null,CHECK
storage,objects,objects_pkey,PRIMARY KEY
storage,objects,16542_17094_1_not_null,CHECK
storage,objects,objects_bucketId_fkey,FOREIGN KEY
storage,prefixes,16542_17197_1_not_null,CHECK
storage,prefixes,16542_17197_3_not_null,CHECK
storage,prefixes,prefixes_bucketId_fkey,FOREIGN KEY
storage,prefixes,prefixes_pkey,PRIMARY KEY
storage,prefixes,16542_17197_2_not_null,CHECK
storage,s3_multipart_uploads,s3_multipart_uploads_bucket_id_fkey,FOREIGN KEY
storage,s3_multipart_uploads,16542_17144_8_not_null,CHECK
storage,s3_multipart_uploads,16542_17144_6_not_null,CHECK
storage,s3_multipart_uploads,16542_17144_1_not_null,CHECK
storage,s3_multipart_uploads,16542_17144_2_not_null,CHECK
storage,s3_multipart_uploads,16542_17144_3_not_null,CHECK
storage,s3_multipart_uploads,16542_17144_4_not_null,CHECK
storage,s3_multipart_uploads,16542_17144_5_not_null,CHECK
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,PRIMARY KEY
storage,s3_multipart_uploads_parts,16542_17158_3_not_null,CHECK
storage,s3_multipart_uploads_parts,16542_17158_4_not_null,CHECK
storage,s3_multipart_uploads_parts,16542_17158_5_not_null,CHECK
storage,s3_multipart_uploads_parts,16542_17158_6_not_null,CHECK
storage,s3_multipart_uploads_parts,16542_17158_7_not_null,CHECK
storage,s3_multipart_uploads_parts,16542_17158_9_not_null,CHECK
storage,s3_multipart_uploads_parts,16542_17158_10_not_null,CHECK
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_bucket_id_fkey,FOREIGN KEY
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_upload_id_fkey,FOREIGN KEY
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,PRIMARY KEY
storage,s3_multipart_uploads_parts,16542_17158_1_not_null,CHECK
storage,s3_multipart_uploads_parts,16542_17158_2_not_null,CHECK
vault,secrets,16603_16608_4_not_null,CHECK
vault,secrets,16603_16608_3_not_null,CHECK
vault,secrets,secrets_pkey,PRIMARY KEY
vault,secrets,16603_16608_1_not_null,CHECK
vault,secrets,16603_16608_7_not_null,CHECK
vault,secrets,16603_16608_8_not_null,CHECK
